,cat1,cat2,cat3,cat4,cat5,cat6,cat7,cat8,cat9,cat10,cat11,cat12,cat13,cat14,cat15,cat16,cat17,cat18,cat19,cat20,cat21,cat22,cat23,cat24,cat25,cat26,cat27,cat28,cat29,cat30,cat31,cat32,cat33,cat34,cat35,cat36,cat37,cat38,cat39,cat40,cat41,cat42,cat43,cat44,cat45,cat46,cat47,cat48,cat49,cat50,cat51,cat52,cat53,cat54,cat55,cat56,cat57,cat58,cat59,cat60,cat61,cat62,cat63,cat64,cat65,cat66,cat67,cat68,cat69,cat70,cat71,cat72,cat73,cat74,cat75,cat76,cat77,cat78,cat79,cat80,cat81,cat82,cat83,cat84,cat85,cat86,cat87,cat88,cat89,cat90,cat91,cat92,cat93,cat94,cat95,cat96,cat97,cat98,cat99,cat100,cat101,cat102,cat103,cat104,cat105,cat106,cat107,cat108,cat109,cat110,cat111,cat112,cat113,cat114,cat115,cat116,cont1,cont2,cont3,cont4,cont5,cont6,cont7,cont8,cont9,cont10,cont11,cont12,cont13,cont14,loss
99088,A,B,A,A,A,A,A,A,B,B,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,D,B,D,C,B,B,B,A,A,A,C,A,C,B,D,E,E,A,P,M,I,A,A,D,E,J,H,B,AB,CO,A,E,AS,A,L,CR,0.31405,0.555782,0.634224,0.373816,0.491114,0.252511,0.269279,0.5006,0.33611,0.3148,0.257148,0.26476,0.333292,0.810602,1073.29
99478,A,B,A,A,A,A,A,A,B,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,B,D,A,A,C,B,C,D,A,A,A,A,A,C,D,E,E,G,E,R,L,G,A,A,E,D,G,I,F,BI,BS,A,E,BM,A,M,DS,0.632041,0.785784,0.527991,0.442784,0.926576,0.662161,0.470084,0.61229,0.64873,0.77634,0.403714,0.395093,0.689974,0.806794,6531.98
99708,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,D,B,B,D,D,B,B,C,B,C,B,A,A,A,A,A,C,C,E,E,G,E,R,N,A,A,D,G,F,G,I,F,BI,DX,A,K,BM,A,N,HG,0.629339,0.358319,0.54977,0.554673,0.82168,0.62026,0.436463,0.61229,0.64873,0.74396,0.569745,0.55738,0.689974,0.361041,3563.17
100767,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,B,A,D,B,B,D,D,B,B,C,B,B,B,A,A,A,A,A,D,D,D,E,C,A,P,G,D,A,A,E,E,H,F,B,BI,CS,A,AO,AE,A,K,DJ,0.503312,0.488789,0.57136,0.373816,0.302678,0.337155,0.340247,0.26847,0.41471,0.44467,0.341813,0.335036,0.318646,0.189289,1724.94
100858,A,B,A,B,A,A,A,A,B,A,B,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,D,B,B,C,B,B,B,A,A,A,A,A,C,D,D,E,A,A,P,B,F,A,A,I,G,F,D,D,BI,CL,C,BA,J,A,J,KW,0.725145,0.620805,0.336963,0.402922,0.281143,0.589067,0.836066,0.41762,0.57506,0.61984,0.727671,0.714544,0.330336,0.754559,6245.33
101033,B,B,B,A,A,A,A,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,B,D,B,B,C,B,D,D,A,A,B,B,H,D,C,C,E,C,D,T,F,C,A,A,H,F,G,K,K,BI,EG,A,AK,L,A,P,IG,0.513457,0.555782,0.527991,0.753703,0.281143,0.74041,0.551298,0.87954,0.521,0.60932,0.774247,0.761665,0.78245,0.480395,1921.3
101148,B,A,A,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,A,A,A,A,A,B,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,D,B,B,D,D,B,B,C,B,D,B,A,A,A,A,A,D,D,C,E,C,D,T,I,A,A,D,G,F,G,K,K,BI,CS,A,E,AE,E,N,HK,0.500412,0.737068,0.57136,0.327354,0.422268,0.720029,0.59557,0.35533,0.44145,0.7877,0.644013,0.630853,0.746494,0.817494,2462.16
101252,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,D,B,B,C,B,D,B,A,A,A,A,A,D,D,C,E,C,D,T,I,A,A,A,G,H,G,I,E,BI,BT,C,AN,AG,A,M,HK,0.378225,0.620805,0.819748,0.208655,0.281143,0.562068,0.743484,0.34987,0.46226,0.41204,0.790187,0.777894,0.466716,0.285793,1979.13
101308,A,B,A,B,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,A,A,A,D,B,B,D,D,B,B,C,B,B,B,A,A,A,A,A,D,B,D,E,E,A,P,I,C,A,A,D,E,K,G,B,AB,C,C,J,BM,A,M,CK,0.325401,0.358319,0.592681,0.473202,0.758711,0.195886,0.256467,0.24564,0.30859,0.21983,0.199654,0.214808,0.327393,0.396839,780.03
101405,A,B,A,B,B,B,A,A,B,B,B,A,B,A,A,A,A,A,A,A,A,A,B,B,A,A,A,B,A,A,A,A,A,A,A,B,A,A,A,B,B,A,A,A,A,A,A,A,A,B,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,A,A,A,A,D,B,D,B,D,D,B,C,B,D,B,A,A,A,A,A,B,D,C,B,C,D,T,K,L,A,D,F,E,E,J,E,BI,CL,G,C,H,F,O,FX,0.504762,0.785784,0.855403,0.402922,0.388783,0.814351,0.882125,0.53046,0.573,0.6852,0.695685,0.682413,0.717751,0.79795,15349.33
101838,A,B,B,B,B,A,A,A,B,B,B,B,B,A,A,B,A,A,A,A,A,A,B,A,B,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,D,B,D,B,B,B,D,C,B,D,D,D,A,B,A,A,C,B,C,E,E,C,T,G,O,A,B,I,G,F,G,G,BU,BC,E,M,S,A,P,LB,0.832333,0.620805,0.419161,0.789639,0.704268,0.735635,0.530098,0.67787,0.83505,0.45017,0.802827,0.793317,0.681354,0.762917,6334.07
101930,A,A,A,B,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,D,B,D,B,D,B,B,C,B,B,B,A,A,A,B,H,D,D,D,E,C,A,P,F,A,B,A,F,E,G,F,D,BI,CI,E,N,H,A,K,GN,0.458463,0.127059,0.506105,0.309621,0.281143,0.439206,0.801832,0.24123,0.4874,0.40666,0.415029,0.40609,0.298734,0.600225,3603.06
102045,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,B,A,A,A,A,A,D,B,B,D,D,D,B,A,B,B,B,A,A,A,G,H,D,D,D,B,C,A,P,O,A,C,A,D,E,J,G,B,BI,CL,A,F,BN,A,K,BP,0.376862,0.785784,0.54977,0.412789,0.643315,0.257876,0.303438,0.49462,0.34555,0.35944,0.24541,0.241676,0.318646,0.744409,2535.69
102357,A,A,A,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,D,A,B,C,B,D,B,A,A,A,A,A,C,D,C,E,C,D,T,K,A,A,B,H,G,H,L,K,BI,EE,A,K,BM,C,P,IE,0.40028,0.785784,0.506105,0.309621,0.281143,0.600687,0.495465,0.74174,0.37458,0.63026,0.678924,0.698722,0.753989,0.362921,653.72
103951,B,B,A,B,A,A,A,A,A,A,B,B,A,A,A,A,A,A,A,A,A,A,B,A,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,D,B,B,D,D,B,B,C,B,D,B,A,A,A,B,H,D,D,C,E,A,D,T,F,G,A,A,K,E,E,K,E,BI,EB,G,J,AO,A,P,LO,0.69163,0.15999,0.26357,0.309621,0.281143,0.910951,0.880577,0.2926,0.64296,0.8351,0.797841,0.785706,0.862949,0.398322,3035.98
104045,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,D,B,B,C,B,B,B,A,A,A,A,A,D,D,D,E,C,A,P,I,A,A,A,F,G,G,G,D,BI,EG,C,AH,H,A,J,GS,0.324129,0.488789,0.592681,0.284048,0.281143,0.379574,0.643564,0.30768,0.43111,0.43919,0.511698,0.500382,0.282249,0.210465,2344.98
104307,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,B,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,D,B,A,D,D,A,B,C,B,D,B,A,A,A,B,A,C,D,C,E,E,D,T,N,A,A,A,E,E,I,J,K,BI,BP,G,AV,BM,A,O,DJ,0.362003,0.555782,0.527991,0.534409,0.885834,0.424491,0.417148,0.60087,0.35127,0.43919,0.291268,0.32157,0.611431,0.29069,274.13
104351,A,A,A,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,B,A,D,B,B,D,D,B,D,C,B,B,B,A,A,A,A,A,D,B,D,E,E,A,P,I,A,A,B,E,F,I,H,B,BI,C,C,AE,BJ,J,L,DP,0.266349,0.245921,0.462347,0.267727,0.413817,0.295734,0.356943,0.44697,0.25753,0.26894,0.324486,0.318249,0.30435,0.190367,1747.63
104786,A,B,B,B,B,A,A,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,B,B,D,B,C,B,D,D,A,A,B,A,A,D,D,C,E,E,D,T,L,D,A,B,E,E,J,N,K,BI,EB,C,A,AE,A,Q,DJ,0.222528,0.488789,0.484196,0.373816,0.845727,0.403665,0.323291,0.36636,0.29095,0.43919,0.307628,0.301921,0.731059,0.404978,2978.15
105452,B,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,D,B,B,D,D,B,B,C,B,D,B,A,A,A,A,A,D,C,C,D,A,D,T,A,A,A,A,K,F,E,K,K,BI,CL,A,AV,L,C,P,LN,0.655966,0.555782,0.336963,0.761209,0.281143,0.896332,0.756893,0.82598,0.58325,0.80569,0.843548,0.832658,0.867611,0.305239,869.32
105508,A,B,A,A,A,A,A,A,B,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,B,A,D,B,D,B,D,B,B,C,B,B,D,A,A,A,A,A,D,D,D,E,C,A,P,G,L,A,A,F,G,G,G,D,BI,EL,A,J,H,A,K,GS,0.296829,0.199504,0.65431,0.284048,0.281143,0.388756,0.719655,0.54829,0.40252,0.28677,0.550529,0.538473,0.276878,0.341731,7671.79
105762,B,A,A,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,D,B,B,D,D,D,B,C,B,D,B,A,A,A,G,H,D,A,C,E,E,D,T,I,A,A,B,J,F,H,J,K,BI,BC,A,B,AJ,N,O,KE,0.305371,0.036553,0.094942,0.29243,0.340543,0.485069,0.433868,0.34987,0.37458,0.31961,0.531161,0.519456,0.566274,0.843919,2536.33
105854,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,D,C,D,C,B,B,B,A,A,A,A,A,D,D,D,E,G,A,P,H,D,A,A,J,G,E,E,D,BI,CI,A,G,AT,A,J,LJ,0.670216,0.245921,0.336963,0.284048,0.38056,0.614704,0.989659,0.48266,0.68961,0.52775,0.802827,0.790803,0.310026,0.205656,2039.05
106075,A,B,A,A,A,A,A,A,B,B,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,D,B,B,A,B,B,B,A,A,A,G,H,D,B,D,E,E,A,P,L,L,A,A,D,E,J,F,B,AB,AM,A,U,K,A,K,DC,0.359329,0.358319,0.462347,0.83324,0.281143,0.230131,0.273671,0.43518,0.33987,0.26029,0.24541,0.255941,0.250991,0.301551,2049.09
106480,A,B,A,A,A,A,A,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,D,B,B,C,B,D,B,A,A,A,B,H,C,D,C,D,A,D,T,F,G,A,A,K,F,E,K,K,BI,BT,A,C,Y,A,Q,LQ,0.71225,0.737068,0.317666,0.802892,0.534484,0.899777,0.676977,0.64577,0.64296,0.79863,0.644013,0.832658,0.870644,0.770681,1540.48
106690,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,B,A,D,B,B,D,D,B,B,C,B,D,B,D,A,A,B,H,D,B,C,B,G,C,T,F,A,A,B,M,E,D,F,G,BI,EG,A,U,AD,A,P,KA,0.977747,0.422197,0.139862,0.642745,0.281143,0.962364,0.718958,0.86348,0.99026,0.82889,0.797841,0.810292,0.854872,0.293701,2650.5
107134,A,B,A,A,B,A,A,A,B,B,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,D,B,B,C,B,B,B,A,A,A,A,A,D,D,D,E,C,A,P,L,L,A,B,E,E,G,F,B,BI,EL,A,AS,K,A,K,DJ,0.513457,0.620805,0.57136,0.594598,0.405415,0.416181,0.349614,0.62918,0.5063,0.37493,0.338312,0.338446,0.315758,0.738009,1344.53
107439,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,B,D,B,D,C,B,B,B,A,A,A,A,A,D,D,C,E,E,A,D,K,A,A,A,C,E,K,G,A,BI,EB,A,U,AE,J,L,CI,0.289618,0.422197,0.65431,0.354893,0.696981,0.187505,0.322751,0.29758,0.32128,0.2123,0.209813,0.207184,0.26115,0.294556,4096
107938,A,A,A,B,A,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,B,B,A,A,A,D,B,B,B,D,A,A,C,B,B,B,A,A,A,A,A,C,D,C,E,E,A,K,I,A,C,A,F,G,G,I,A,BI,EL,G,AN,BN,C,K,HB,0.17724,0.358319,0.65431,0.393132,0.87101,0.414468,0.582909,0.48864,0.25274,0.27777,0.6075,0.594646,0.287682,0.258316,7470.6
108121,B,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,D,B,B,C,B,D,B,A,A,A,A,A,C,B,C,E,C,D,T,J,D,A,A,H,E,H,K,K,BI,AI,A,U,AJ,A,P,FR,0.367378,0.358319,0.162313,0.259793,0.340543,0.585075,0.577741,0.34987,0.37458,0.48334,0.415029,0.424625,0.704052,0.297828,496.72
108183,A,B,A,A,B,A,A,A,A,A,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,D,B,B,D,D,B,B,A,B,B,B,A,A,A,G,H,D,D,D,E,A,A,P,G,F,A,B,G,G,G,F,B,BI,CO,A,AR,X,A,L,HK,0.634734,0.620805,0.65431,0.946616,0.836443,0.482425,0.44376,0.7133,0.5189,0.60401,0.689039,0.675759,0.453468,0.423183,2609.23
108584,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,A,A,A,A,A,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,D,B,B,B,D,B,D,C,B,D,B,A,A,A,B,H,D,D,C,E,C,D,T,F,A,A,E,I,G,H,L,K,BI,BT,A,AI,AJ,A,P,LB,0.368727,0.245921,0.26357,0.345595,0.517162,0.57792,0.542126,0.34987,0.37458,0.5,0.695685,0.682413,0.728429,0.234705,7236.79
109437,B,A,A,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,D,B,B,C,B,B,B,A,A,A,B,H,D,D,D,E,C,A,P,F,A,A,A,G,H,H,F,B,BI,EG,C,A,AE,E,K,HK,0.54667,0.620805,0.692825,0.327354,0.87101,0.364464,0.39101,0.26847,0.46226,0.50556,0.705501,0.692256,0.345247,0.410978,2654.28
110275,A,B,A,A,A,A,A,A,B,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,A,D,D,B,B,C,B,C,B,A,A,A,A,A,C,C,E,E,A,E,R,L,G,A,A,F,F,H,I,F,BI,BS,A,E,BM,A,O,GS,0.54667,0.245921,0.61366,0.383428,0.666857,0.551912,0.454015,0.61229,0.54609,0.54433,0.430255,0.519456,0.6426,0.807092,1001.36
110368,B,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,D,B,B,D,D,B,D,C,B,B,B,A,A,A,A,A,D,D,D,E,E,A,P,I,A,A,B,D,E,J,G,B,BI,EG,A,E,AE,A,K,CK,0.312802,0.681761,0.711159,0.412789,0.302678,0.220686,0.268988,0.27797,0.38249,0.31003,0.24541,0.241676,0.298734,0.815311,1691.31
111135,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,D,B,B,C,B,D,B,A,A,A,A,A,D,D,C,E,A,D,T,J,A,A,C,G,F,E,I,E,BI,CL,A,J,F,A,M,HQ,0.632041,0.620805,0.711159,0.442784,0.482436,0.82597,0.842522,0.54829,0.62738,0.76852,0.742852,0.729856,0.675536,0.396249,1723.61
111407,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,C,B,C,A,B,D,B,D,A,A,G,H,D,B,C,E,E,C,T,F,A,A,A,I,E,G,G,G,BI,CS,E,AN,L,A,O,IH,0.69163,0.299102,0.111114,0.493605,0.288217,0.51916,0.38193,0.49462,0.71422,0.26029,0.377724,0.40609,0.51666,0.264288,4323.5
112114,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,D,B,D,B,D,B,B,C,B,B,B,A,A,A,B,A,D,D,C,G,E,A,N,N,A,A,D,D,D,I,H,B,BI,CO,A,E,BM,A,L,EL,0.29201,0.737068,0.634224,0.62377,0.281143,0.314937,0.413673,0.67263,0.38249,0.29595,0.228492,0.225288,0.363547,0.798165,6423.89
112552,B,B,A,A,A,A,A,A,B,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,D,B,B,D,D,A,B,C,B,B,B,A,A,A,B,A,C,D,D,E,C,A,P,I,G,A,A,E,E,H,F,B,BI,CS,A,AK,AE,A,K,DJ,0.503312,0.555782,0.527991,0.373816,0.302678,0.336105,0.350175,0.26847,0.41471,0.44467,0.327915,0.32157,0.318646,0.47199,2137.12
112564,B,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,D,D,D,C,B,D,B,A,A,A,A,A,D,C,C,E,C,D,T,J,A,A,A,F,F,H,J,K,BI,BP,A,F,BM,F,O,GS,0.40726,0.245921,0.61366,0.383428,0.805895,0.503587,0.487817,0.70342,0.39447,0.46119,0.430255,0.519456,0.617748,0.743817,2121.21
112658,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,D,B,B,D,B,B,B,A,B,D,B,A,A,A,A,A,D,D,C,E,C,D,T,G,A,A,A,I,F,F,J,E,BI,EL,G,E,H,A,N,KR,0.397499,0.199504,0.419161,0.318422,0.295397,0.726386,0.806495,0.53046,0.479,0.56081,0.748766,0.735834,0.639532,0.806096,1810.65
114099,A,B,A,A,B,A,A,A,B,A,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,A,A,B,B,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,A,A,B,A,D,B,B,B,D,B,B,C,B,B,B,A,A,A,A,A,D,D,C,E,C,A,N,L,J,A,F,D,F,H,G,B,BI,CL,A,N,BF,A,L,EE,0.376862,0.15999,0.90167,0.195483,0.281143,0.3119,0.546533,0.25461,0.31219,0.23948,0.396226,0.387819,0.290422,0.478687,3082.13
